"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 30, 2020","350.58","350.58","350.58","350.58","-","0.00%"
"Aug 28, 2020","350.58","349.44","350.72","348.15","48.59M","0.65%"
"Aug 27, 2020","348.33","348.36","349.89","346.54","58.03M","0.22%"
"Aug 26, 2020","347.57","344.73","347.85","344.17","50.79M","1.00%"
"Aug 25, 2020","344.12","343.53","344.14","342.27","38.46M","0.35%"
"Aug 24, 2020","342.92","342.12","342.96","341.10","48.59M","1.01%"
"Aug 23, 2020","339.48","339.48","339.48","339.48","-","0.00%"
"Aug 22, 2020","339.48","339.48","339.48","339.48","-","0.00%"
"Aug 21, 2020","339.48","337.99","339.67","337.57","55.11M","0.35%"
"Aug 20, 2020","338.28","335.38","338.77","335.25","42.21M","0.31%"
"Aug 19, 2020","337.23","339.07","339.60","336.64","68.05M","-0.42%"
"Aug 18, 2020","338.64","338.36","339.09","336.64","38.73M","0.22%"
"Aug 17, 2020","337.91","337.92","338.34","337.50","35.48M","0.32%"
"Aug 14, 2020","336.84","336.41","337.42","335.62","47.26M","0.00%"
"Aug 13, 2020","336.83","337.02","338.25","335.85","41.82M","-0.18%"
"Aug 12, 2020","337.44","335.56","338.28","335.56","53.83M","1.39%"
"Aug 11, 2020","332.80","336.95","337.52","332.05","69.60M","-0.83%"
"Aug 10, 2020","335.57","335.05","335.76","332.98","44.28M","0.30%"
"Aug 09, 2020","334.57","334.57","334.57","334.57","-","0.00%"
"Aug 08, 2020","334.57","334.57","334.57","334.57","-","0.00%"
"Aug 07, 2020","334.57","333.28","334.68","332.30","57.31M","0.07%"
"Aug 06, 2020","334.33","331.47","334.46","331.15","43.68M","0.67%"
"Aug 05, 2020","332.11","331.47","332.39","331.19","42.87M","0.62%"
"Aug 04, 2020","330.06","328.06","330.06","327.96","41.92M","0.39%"
"Aug 03, 2020","328.79","328.36","329.61","327.74","53.08M","0.70%"
"Aug 02, 2020","326.52","326.52","326.52","326.52","-","0.00%"
"Jul 31, 2020","326.52","325.90","326.63","321.33","85.21M","0.79%"
"Jul 30, 2020","323.96","321.80","324.40","319.69","61.86M","-0.36%"
